Unnamed: 0,product_id,product_name,product_price,food_ingredient
0,1,[fresheasy] 나만의 심야식당 3종 세트,26800,"['기타가공품', '건마늘분말', '폴리인산나트륨', '복합조미식품', '치자적색소', '식물성유지', '혼합제제', '소정육', '소스', '정제수', '전분가공품', '양파', '돼지뒷다리', '돼지지방', '닭고기', '전란액']"
1,2,[fresheasy] 누구나홀딱반한닭 바사칸치킨윙봉 400g 1팩,32700,"['기타가공품', '복합조미식품', '식물성유지', '닭고기', '혼합제제', '정제수', '전분가공품']"
2,3,[fresheasy] 누구나홀딱반한닭 바사칸치킨윙봉 400g 3팩,32700,"['기타가공품', '복합조미식품', '식물성유지', '닭고기', '혼합제제', '정제수', '전분가공품']"
3,4,[fresheasy] 누구나홀딱반한닭 바사칸치킨윙봉400g 3팩,21900,"['기타가공품', '복합조미식품', '식물성유지', '닭고기', '혼합제제', '정제수', '전분가공품']"
4,5,[fresheasy] 누구나홀딱반한닭 쉬림프치킨파히타 2인분 3팩,53700,"['기타 수산물가공품', '복합조미식품', '빵류', '청피망', '자연치즈', '소스', '양념육', '양파']"
5,6,[fresheasy] 누구나홀딱반한닭 치킨투움바파스타 (384g) 2인분 3팩,38700,"['기타가공품', '건면', '소스', '양념육']"
6,7,[fresheasy] 누구나홀딱반한닭 치킨투움바파스타 2인분 3팩,27900,"['기타가공품', '건면', '소스', '양념육']"
7,8,[fresheasy] 누구나홀딱반할 야식 4종 세트,32900,"['복합조미식품', '곡류가공품', '닭고기', '전란액', '치자적색소', '소고기', '소스', '정제수', '콩기름(대두유)', '기타가공품', '혼합제제', '돼지뒷다리', '돼지지방', '전분가공품', '건마늘분말', '식물성유지', '소정육', '양파', '폴리인산나트륨']"
8,9,[fresheasy] 백년가게 도가니탕 600g 1팩,7480,"['복합조미식품', '양파분말', '5-리보뉴클레오티드이나트륨', '다진마늘', '식육추출가공품', '추출가공식품', '소도가니', '천연향료(Pepper, white)', '소스지', '정제수', '녹용추출분말', '대파']"
9,10,[fresheasy] 백년가게 도가니탕 600g 5팩 (상온),37400,"['복합조미식품', '양파분말', '5-리보뉴클레오티드이나트륨', '다진마늘', '식육추출가공품', '추출가공식품', '소도가니', '천연향료(Pepper, white)', '소스지', '정제수', '녹용추출분말', '대파']"
10,11,[fresheasy] 백년가게 진한고깃집된장찌개 400g 1팩,5900,"['곡류가공품', '팽이버섯', '정제소금', '5-리보뉴클레오티드이나트륨', '청양고추', '혼합제제', '느타리버섯', '된장', '고춧가루', '탄산칼륨(고시형)', '소스', '정제수', 'L-글루탐산나트륨', '양파', '두부', '물엿', '대파']"
11,12,[fresheasy] 설 연휴 풍성한 식탁 3종 세트,43480,"['쌀가루', '정제소금', '혼합제제', '기타 식용유지가공품', '소스', '정제수', '닭다리살']"
